celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,eliminated_week,withdrew,avg_score_w1,total_score_w1,pool_total_score_w1,judge_pct_w1,avg_score_w10,total_score_w10,pool_total_score_w10,judge_pct_w10,avg_score_w11,total_score_w11,pool_total_score_w11,judge_pct_w11,avg_score_w2,total_score_w2,pool_total_score_w2,judge_pct_w2,avg_score_w3,total_score_w3,pool_total_score_w3,judge_pct_w3,avg_score_w4,total_score_w4,pool_total_score_w4,judge_pct_w4,avg_score_w5,total_score_w5,pool_total_score_w5,judge_pct_w5,avg_score_w6,total_score_w6,pool_total_score_w6,judge_pct_w6,avg_score_w7,total_score_w7,pool_total_score_w7,judge_pct_w7,avg_score_w8,total_score_w8,pool_total_score_w8,judge_pct_w8,avg_score_w9,total_score_w9,pool_total_score_w9,judge_pct_w9,age_group,origin_type
Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,9,Eliminated Week 6,8,8.6666,9.6666,8.6666,,6.0,7.0,6.0,,8.0,5.0,7.0,,5.0,5.0,6.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6.0,False,8.999933333333333,26.9998,405.9984,0.06650223252111338,0.0,0.0,82.5552,0.0,,,0.0,,6.333333333333333,19.0,294.0,0.06462585034013606,6.666666666666667,20.0,258.0,0.07751937984496124,5.333333333333333,16.0,242.0,0.06611570247933884,7.333333333333333,22.0,242.0,0.09090909090909091,8.0,24.0,259.9991,0.09230801183542559,0.0,0.0,175.5,0.0,0.0,0.0,131.0,0.0,0.0,0.0,106.6663,0.0,Young,Domestic
Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,9,Eliminated Week 7,7,7.0,6.0,6.0,,7.0,7.0,6.0,,5.0,4.0,5.0,,5.0,6.0,5.0,,7.0,7.0,7.0,,6.6666,8.6666,6.6666,,8.0,8.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.0,False,6.333333333333333,19.0,405.9984,0.046798213983109294,0.0,0.0,82.5552,0.0,,,0.0,,6.666666666666667,20.0,294.0,0.06802721088435375,4.666666666666667,14.0,258.0,0.05426356589147287,5.333333333333333,16.0,242.0,0.06611570247933884,7.0,21.0,242.0,0.08677685950413223,7.333266666666667,21.9998,259.9991,0.08461490828237482,7.833333333333333,23.5,175.5,0.1339031339031339,0.0,0.0,131.0,0.0,0.0,0.0,106.6663,0.0,Middle-Aged,Domestic
Joanna Krupa,Derek Hough,Model,,Poland,30,9,Eliminated Week 9,4,11.3333,11.3333,11.3333,,6.0,7.0,7.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,8.0,8.0,8.0,,11.3333,12.3333,12.3333,,9.0,9.0,9.5,,8.5,8.5,9.0,,9.0,9.0,9.0,,0.0,0.0,0.0,,,,,,9.0,False,11.3333,33.9999,405.9984,0.08374392608443776,0.0,0.0,82.5552,0.0,,,0.0,,6.666666666666667,20.0,294.0,0.06802721088435375,7.666666666666667,23.0,258.0,0.08914728682170543,8.666666666666666,26.0,242.0,0.10743801652892562,8.0,24.0,242.0,0.09917355371900827,11.999966666666666,35.9999,259.9991,0.13846163313642237,9.166666666666666,27.5,175.5,0.15669515669515668,8.666666666666666,26.0,131.0,0.1984732824427481,9.0,27.0,106.6663,0.2531258701201785,Adult,International
Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,Eliminated Week 2,14,7.3333,6.3333,6.3333,,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,2.0,False,6.666633333333333,19.9999,405.9984,0.04926103157056776,0.0,0.0,82.5552,0.0,,,0.0,,6.0,18.0,294.0,0.061224489795918366,0.0,0.0,258.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,259.9991,0.0,0.0,0.0,175.5,0.0,0.0,0.0,131.0,0.0,0.0,0.0,106.6663,0.0,Middle-Aged,Domestic
Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,Withdrew,13,7.3333,6.3333,6.3333,,6.0,6.0,6.0,,6.0,4.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,True,6.666633333333333,19.9999,405.9984,0.04926103157056776,0.0,0.0,82.5552,0.0,,,0.0,,6.0,18.0,294.0,0.061224489795918366,5.0,15.0,258.0,0.05813953488372093,0.0,0.0,242.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,259.9991,0.0,0.0,0.0,175.5,0.0,0.0,0.0,131.0,0.0,0.0,0.0,106.6663,0.0,Senior,Domestic
Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,Eliminated Week 1,15,7.3333,5.3333,6.3333,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,1.0,False,6.3333,18.9999,405.9984,0.046797967676719905,0.0,0.0,82.5552,0.0,,,0.0,,0.0,0.0,294.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,259.9991,0.0,0.0,0.0,175.5,0.0,0.0,0.0,131.0,0.0,0.0,0.0,106.6663,0.0,Middle-Aged,Domestic
Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,10.3333,11.3333,10.3333,,9.0,9.0,9.0,,8.0,6.0,7.0,,6.0,6.0,6.0,,8.0,8.0,8.0,,10.6666,11.6666,10.6666,,8.5,9.0,9.0,,8.0,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,8.0,False,10.666633333333332,31.999899999999997,405.9984,0.07881779829674204,0.0,0.0,82.5552,0.0,,,0.0,,9.0,27.0,294.0,0.09183673469387756,7.0,21.0,258.0,0.08139534883720931,6.0,18.0,242.0,0.0743801652892562,8.0,24.0,242.0,0.09917355371900827,10.999933333333333,32.9998,259.9991,0.12692274704027823,8.833333333333334,26.5,175.5,0.150997150997151,8.333333333333334,25.0,131.0,0.19083969465648856,0.0,0.0,106.6663,0.0,Young,Domestic
Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,11.3333,8.3333,11.3333,,9.0,9.0,9.0,,10.0,7.0,10.0,,10.0,8.0,10.0,,9.0,9.0,9.0,,11.0,10.0,12.0,,8.5,7.5,8.5,,9.5,10.0,10.0,,9.3333,9.6666,10.0,,9.4444,9.4444,9.4444,,,,,,,False,10.3333,30.999899999999997,405.9984,0.07635473440289418,9.4444,28.333199999999998,82.5552,0.34320309320309317,,,0.0,,9.0,27.0,294.0,0.09183673469387756,9.0,27.0,258.0,0.10465116279069768,9.333333333333334,28.0,242.0,0.11570247933884298,9.0,27.0,242.0,0.1115702479338843,11.0,33.0,259.9991,0.12692351627371018,8.166666666666666,24.5,175.5,0.1396011396011396,9.833333333333334,29.5,131.0,0.22519083969465647,9.666633333333333,28.9999,106.6663,0.27187499707030244,Adult,Domestic
Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,10.3333,9.3333,10.3333,,8.0,9.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,10.0,9.0,10.0,,10.3333,10.3333,10.3333,,8.5,8.5,9.0,,8.5,8.0,8.5,,8.0,8.3333,8.3333,,9.6666,9.6666,9.6666,,,,,,,False,9.999966666666666,29.999899999999997,405.9984,0.07389167050904633,9.6666,28.9998,82.5552,0.35127769056340485,,,0.0,,8.333333333333334,25.0,294.0,0.08503401360544217,7.0,21.0,258.0,0.08139534883720931,8.0,24.0,242.0,0.09917355371900827,9.666666666666666,29.0,242.0,0.11983471074380166,10.3333,30.999899999999997,259.9991,0.11923079733737539,8.666666666666666,26.0,175.5,0.14814814814814814,8.333333333333334,25.0,131.0,0.19083969465648856,8.2222,24.666600000000003,106.6663,0.23125016992245911,Middle-Aged,Domestic
Kelly Osbourne,Louis van Amstel,Tv Personality,,England,24,9,3rd Place,3,9.6666,10.6666,10.6666,,6.0,7.0,6.0,,7.0,6.0,7.0,,8.0,7.0,8.0,,8.0,8.0,8.0,,8.6666,7.6666,8.6666,,8.5,8.5,9.0,,8.0,8.5,9.0,,8.6666,8.6666,8.6666,,8.5,8.5,8.2222,,,,,,,False,10.333266666666667,30.9998,405.9984,0.07635448809650482,8.4074,25.2222,82.5552,0.305519216233502,,,0.0,,6.333333333333333,19.0,294.0,0.06462585034013606,6.666666666666667,20.0,258.0,0.07751937984496124,7.666666666666667,23.0,242.0,0.09504132231404959,8.0,24.0,242.0,0.09917355371900827,8.333266666666667,24.9998,259.9991,0.09615340976180302,8.666666666666666,26.0,175.5,0.14814814814814814,8.5,25.5,131.0,0.1946564885496183,8.6666,25.9998,106.6663,0.2437489628870599,Young,International
Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,Eliminated Week 4,9,5.0,5.0,5.0,,7.0,6.0,6.0,,7.0,6.0,7.0,,5.5,5.5,5.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,4.0,False,5.0,15.0,209.0,0.07177033492822966,0.0,0.0,82.6662,0.0,,,0.0,,6.333333333333333,19.0,220.0,0.08636363636363636,6.666666666666667,20.0,203.0,0.09852216748768473,5.5,16.5,185.5,0.0889487870619946,0.0,0.0,173.0,0.0,0.0,0.0,208.99929999999998,0.0,0.0,0.0,155.5,0.0,0.0,0.0,126.5,0.0,0.0,0.0,113.0,0.0,Adult,International
Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,Eliminated Week 2,11,6.0,6.0,6.0,,7.0,6.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,2.0,False,6.0,18.0,209.0,0.0861244019138756,0.0,0.0,82.6662,0.0,,,0.0,,6.666666666666667,20.0,220.0,0.09090909090909091,0.0,0.0,203.0,0.0,0.0,0.0,185.5,0.0,0.0,0.0,173.0,0.0,0.0,0.0,208.99929999999998,0.0,0.0,0.0,155.5,0.0,0.0,0.0,126.5,0.0,0.0,0.0,113.0,0.0,Adult,Domestic
Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,7.0,5.0,6.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,6.0,6.0,6.0,,6.0,6.0,6.0,,8.6666,8.6666,8.6666,,8.5,8.0,8.0,,7.0,7.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,8.0,False,6.0,18.0,209.0,0.0861244019138756,0.0,0.0,82.6662,0.0,,,0.0,,7.0,21.0,220.0,0.09545454545454546,7.0,21.0,203.0,0.10344827586206896,6.0,18.0,185.5,0.09703504043126684,6.0,18.0,173.0,0.10404624277456648,8.6666,25.9998,208.99929999999998,0.12440137359311731,8.166666666666666,24.5,155.5,0.15755627009646303,7.166666666666667,21.5,126.5,0.16996047430830039,0.0,0.0,113.0,0.0,Adult,Domestic
Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,5.0,4.0,5.0,,4.0,4.0,4.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3.0,False,4.666666666666667,14.0,209.0,0.06698564593301436,0.0,0.0,82.6662,0.0,,,0.0,,4.0,12.0,220.0,0.05454545454545454,4.333333333333333,13.0,203.0,0.06403940886699508,0.0,0.0,185.5,0.0,0.0,0.0,173.0,0.0,0.0,0.0,208.99929999999998,0.0,0.0,0.0,155.5,0.0,0.0,0.0,126.5,0.0,0.0,0.0,113.0,0.0,Senior,Domestic
Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,6.0,6.0,6.0,,6.0,5.0,5.0,,7.0,6.0,7.0,,7.5,6.5,8.0,,6.0,6.0,6.0,,10.3333,10.3333,10.3333,,8.5,9.0,8.5,,7.5,7.5,7.5,,8.5,8.5,9.0,,0.0,0.0,0.0,,,,,,9.0,False,6.0,18.0,209.0,0.0861244019138756,0.0,0.0,82.6662,0.0,,,0.0,,5.333333333333333,16.0,220.0,0.07272727272727272,6.666666666666667,20.0,203.0,0.09852216748768473,7.333333333333333,22.0,185.5,0.11859838274932614,6.0,18.0,173.0,0.10404624277456648,10.3333,30.999899999999997,208.99929999999998,0.148325377166335,8.666666666666666,26.0,155.5,0.16720257234726688,7.5,22.5,126.5,0.17786561264822134,8.666666666666666,26.0,113.0,0.23008849557522124,Adult,Domestic
Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,8.0,7.0,8.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,8.5,9.0,,10.0,9.5,10.0,,9.3333,8.7777,8.7777,,,,,,,False,7.666666666666667,23.0,209.0,0.11004784688995216,8.9629,26.888699999999996,82.6662,0.325268368450467,,,0.0,,8.0,24.0,220.0,0.10909090909090909,8.666666666666666,26.0,203.0,0.12807881773399016,8.666666666666666,26.0,185.5,0.14016172506738545,9.0,27.0,173.0,0.15606936416184972,9.0,27.0,208.99929999999998,0.12918703555466454,9.0,27.0,155.5,0.17363344051446947,8.833333333333334,26.5,126.5,0.20948616600790515,9.833333333333334,29.5,113.0,0.2610619469026549,Young,Domestic
Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7.0,6.0,8.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,7.5,7.5,8.5,,7.0,6.0,8.0,,9.6666,9.6666,10.6666,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.0,False,7.0,21.0,209.0,0.10047846889952153,0.0,0.0,82.6662,0.0,,,0.0,,7.333333333333333,22.0,220.0,0.1,7.0,21.0,203.0,0.10344827586206896,7.833333333333333,23.5,185.5,0.12668463611859837,7.0,21.0,173.0,0.12138728323699421,9.999933333333333,29.9998,208.99929999999998,0.14354019367528983,8.5,25.5,155.5,0.1639871382636656,0.0,0.0,126.5,0.0,0.0,0.0,113.0,0.0,Middle-Aged,International
Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,9.0,7.0,9.0,,10.0,8.0,10.0,,8.0,6.0,9.0,,8.5,8.0,8.5,,10.0,9.0,10.0,,12.3333,10.3333,13.3333,,9.0,9.0,9.0,,10.0,9.5,10.0,,10.0,9.5,10.0,,9.5,9.5,9.7777,,,,,,,False,8.333333333333334,25.0,209.0,0.11961722488038277,9.592566666666666,28.7777,82.6662,0.3481193038992962,,,0.0,,9.333333333333334,28.0,220.0,0.12727272727272726,7.666666666666667,23.0,203.0,0.11330049261083744,8.333333333333334,25.0,185.5,0.1347708894878706,9.666666666666666,29.0,173.0,0.1676300578034682,11.999966666666666,35.9999,208.99929999999998,0.17224890226905065,9.0,27.0,155.5,0.17363344051446947,9.833333333333334,29.5,126.5,0.233201581027668,9.833333333333334,29.5,113.0,0.2610619469026549,Adult,Domestic
Erin Andrews,Maksim Chmerkoskiy,Media/Writing,Maine,United States,32,10,3rd Place,3,7.0,7.0,7.0,,8.0,7.0,8.0,,8.0,7.0,8.0,,6.5,6.5,6.5,,7.0,7.0,8.0,,12.0,10.0,12.0,,8.5,8.5,8.5,,8.5,9.0,9.0,,9.5,9.0,9.5,,9.2222,8.8888,8.8888,,,,,,,False,7.0,21.0,209.0,0.10047846889952153,8.999933333333333,26.9998,82.6662,0.32661232765023673,,,0.0,,7.666666666666667,23.0,220.0,0.10454545454545454,7.666666666666667,23.0,203.0,0.11330049261083744,6.5,19.5,185.5,0.10512129380053908,7.333333333333333,22.0,173.0,0.12716763005780346,11.333333333333334,34.0,208.99929999999998,0.16267997069846646,8.5,25.5,155.5,0.1639871382636656,8.833333333333334,26.5,126.5,0.20948616600790515,9.333333333333334,28.0,113.0,0.24778761061946902,Adult,Domestic
Kate Gosselin,Tony Dovolani,Tv Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,6.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.5,5.5,,5.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.0,False,5.333333333333333,16.0,209.0,0.07655502392344497,0.0,0.0,82.6662,0.0,,,0.0,,5.0,15.0,220.0,0.06818181818181818,5.0,15.0,203.0,0.07389162561576355,5.333333333333333,16.0,185.5,0.0862533692722372,5.0,15.0,173.0,0.08670520231213873,0.0,0.0,208.99929999999998,0.0,0.0,0.0,155.5,0.0,0.0,0.0,126.5,0.0,0.0,0.0,113.0,0.0,Adult,Domestic
Jake Pavelka,Chelsie Hightower,Tv Personality,Texas,United States,32,10,Eliminated Week 6,7,7.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,6.5,6.5,6.0,,8.0,7.0,8.0,,8.3333,8.3333,8.3333,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6.0,False,6.666666666666667,20.0,209.0,0.09569377990430622,0.0,0.0,82.6662,0.0,,,0.0,,6.666666666666667,20.0,220.0,0.09090909090909091,7.0,21.0,203.0,0.10344827586206896,6.333333333333333,19.0,185.5,0.10242587601078167,7.666666666666667,23.0,173.0,0.1329479768786127,8.3333,24.999899999999997,208.99929999999998,0.11961714704307622,0.0,0.0,155.5,0.0,0.0,0.0,126.5,0.0,0.0,0.0,113.0,0.0,Adult,Domestic
David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,Eliminated Week 1,12,5.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,1.0,False,5.0,15.0,227.0,0.06607929515418502,0.0,0.0,82.9998,0.0,,,0.0,,0.0,0.0,221.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,206.99929999999998,0.0,0.0,0.0,208.5,0.0,0.0,0.0,132.5,0.0,0.0,0.0,114.0,0.0,Middle-Aged,Domestic
Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,6.0,6.0,6.0,,7.0,6.0,6.0,,7.0,6.0,7.0,,6.0,6.0,5.5,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.0,False,6.0,18.0,227.0,0.07929515418502203,0.0,0.0,82.9998,0.0,,,0.0,,6.333333333333333,19.0,221.0,0.08597285067873303,6.666666666666667,20.0,221.0,0.09049773755656108,5.833333333333333,17.5,179.0,0.09776536312849161,7.0,21.0,182.0,0.11538461538461539,0.0,0.0,206.99929999999998,0.0,0.0,0.0,208.5,0.0,0.0,0.0,132.5,0.0,0.0,0.0,114.0,0.0,Senior,Domestic
Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,8.0,7.0,8.0,,8.0,7.0,7.0,,8.0,7.0,8.0,,7.0,6.5,6.5,,8.0,5.0,7.0,,10.3333,9.3333,10.3333,,9.0,8.5,8.0,8.0,9.5,9.0,9.5,,10.0,9.0,10.0,,9.3333,8.6666,9.3333,,,,,,,False,7.666666666666667,23.0,227.0,0.1013215859030837,9.111066666666666,27.333199999999998,82.9998,0.3293164561842318,,,0.0,,7.333333333333333,22.0,221.0,0.09954751131221719,7.666666666666667,23.0,221.0,0.10407239819004525,6.666666666666667,20.0,179.0,0.11173184357541899,6.666666666666667,20.0,182.0,0.10989010989010989,9.999966666666666,29.999899999999997,206.99929999999998,0.14492754323323798,8.375,33.5,208.5,0.1606714628297362,9.333333333333334,28.0,132.5,0.21132075471698114,9.666666666666666,29.0,114.0,0.2543859649122807,Young,Domestic
Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.5,9.0,9.5,,8.0,8.0,9.0,,9.0,10.0,10.0,,9.5,9.0,9.0,9.0,9.5,9.5,9.5,,10.0,10.0,10.0,,10.0,10.0,10.0,,,,,,,False,8.0,24.0,227.0,0.10572687224669604,10.0,30.0,82.9998,0.36144665408832316,,,0.0,,8.0,24.0,221.0,0.1085972850678733,8.0,24.0,221.0,0.1085972850678733,9.333333333333334,28.0,179.0,0.1564245810055866,8.333333333333334,25.0,182.0,0.13736263736263737,9.666666666666666,29.0,206.99929999999998,0.14009709211577046,9.125,36.5,208.5,0.1750599520383693,9.5,28.5,132.5,0.21509433962264152,10.0,30.0,114.0,0.2631578947368421,Middle-Aged,Domestic
Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,8.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,7.0,6.5,,8.0,8.0,8.0,,10.0,10.0,10.0,,9.0,8.5,8.5,8.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.0,False,7.333333333333333,22.0,227.0,0.09691629955947137,0.0,0.0,82.9998,0.0,,,0.0,,7.0,21.0,221.0,0.09502262443438914,8.0,24.0,221.0,0.1085972850678733,6.5,19.5,179.0,0.10893854748603352,8.0,24.0,182.0,0.13186813186813187,10.0,30.0,206.99929999999998,0.1449280263266591,8.625,34.5,208.5,0.16546762589928057,0.0,0.0,132.5,0.0,0.0,0.0,114.0,0.0,Middle-Aged,International
Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,7.0,5.0,7.0,,7.0,7.0,7.0,,8.0,8.0,7.0,,6.0,5.5,5.5,,8.0,8.0,8.0,,7.3333,7.3333,7.3333,,9.5,8.5,8.5,8.5,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,8.0,False,6.333333333333333,19.0,227.0,0.08370044052863436,0.0,0.0,82.9998,0.0,,,0.0,,7.0,21.0,221.0,0.09502262443438914,7.666666666666667,23.0,221.0,0.10407239819004525,5.666666666666667,17.0,179.0,0.09497206703910614,8.0,24.0,182.0,0.13186813186813187,7.3333,21.9999,206.99929999999998,0.10628006954612891,8.75,35.0,208.5,0.16786570743405277,8.0,24.0,132.5,0.1811320754716981,0.0,0.0,114.0,0.0,Adult,Domestic
Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,5.0,5.0,5.0,,6.0,6.0,6.0,,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,3.0,False,5.0,15.0,227.0,0.06607929515418502,0.0,0.0,82.9998,0.0,,,0.0,,6.0,18.0,221.0,0.08144796380090498,6.0,18.0,221.0,0.08144796380090498,0.0,0.0,179.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,206.99929999999998,0.0,0.0,0.0,208.5,0.0,0.0,0.0,132.5,0.0,0.0,0.0,114.0,0.0,Middle-Aged,Domestic
Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,6.0,5.0,5.0,,4.0,5.0,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,2.0,False,5.333333333333333,16.0,227.0,0.07048458149779736,0.0,0.0,82.9998,0.0,,,0.0,,4.0,12.0,221.0,0.05429864253393665,0.0,0.0,221.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,206.99929999999998,0.0,0.0,0.0,208.5,0.0,0.0,0.0,132.5,0.0,0.0,0.0,114.0,0.0,Middle-Aged,Domestic
Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,7.0,8.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,11.3333,12.3333,12.3333,,9.0,9.0,9.5,9.0,9.0,9.5,10.0,,9.5,9.5,9.5,,0.0,0.0,0.0,,,,,,9.0,False,7.666666666666667,23.0,227.0,0.1013215859030837,0.0,0.0,82.9998,0.0,,,0.0,,7.0,21.0,221.0,0.09502262443438914,8.0,24.0,221.0,0.1085972850678733,8.0,24.0,179.0,0.1340782122905028,9.0,27.0,182.0,0.14835164835164835,11.999966666666666,35.9999,206.99929999999998,0.17391314849856981,9.125,36.5,208.5,0.1750599520383693,9.5,28.5,132.5,0.21509433962264152,9.5,28.5,114.0,0.25,Adult,Domestic
The Situation,Karina Smirnoff,Tv Personality,New York,United States,28,11,Eliminated Week 4,9,5.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,7.0,,5.0,4.5,4.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,4.0,False,5.0,15.0,227.0,0.06607929515418502,0.0,0.0,82.9998,0.0,,,0.0,,6.0,18.0,221.0,0.08144796380090498,6.666666666666667,20.0,221.0,0.09049773755656108,4.666666666666667,14.0,179.0,0.0782122905027933,0.0,0.0,182.0,0.0,0.0,0.0,206.99929999999998,0.0,0.0,0.0,208.5,0.0,0.0,0.0,132.5,0.0,0.0,0.0,114.0,0.0,Adult,Domestic
