Season,Week,Rule_Used,Contestant,Judge_Score,Est_Fan_Vote,Uncertainty,Status
7,2,PERCENT,Susan Lucci,21.0,0.1129,0.0823,Safe
7,2,PERCENT,Cody Linley,21.0,0.0952,0.0581,Safe
7,2,PERCENT,Misty May-Treanor,21.0,0.0999,0.0689,Safe
7,2,PERCENT,Maurice Greene,19.0,0.0868,0.0551,Safe
7,2,PERCENT,Warren Sapp,24.0,0.1076,0.0881,Safe
7,2,PERCENT,Toni Braxton,23.0,0.0827,0.0592,Safe
7,2,PERCENT,Lance Bass,20.0,0.0964,0.067,Safe
7,2,PERCENT,Kim Kardashian,17.0,0.0164,0.0122,Eliminated
7,2,PERCENT,Rocco DiSpirito,16.0,0.1033,0.0604,Safe
7,2,PERCENT,Brooke Burke,24.0,0.081,0.0556,Safe
7,3,PERCENT,Cloris Leachman,16.0,0.1096,0.0864,Safe
7,3,PERCENT,Susan Lucci,21.0,0.1095,0.0845,Safe
7,3,PERCENT,Cody Linley,21.0,0.0908,0.063,Safe
7,3,PERCENT,Maurice Greene,24.0,0.103,0.0767,Safe
7,3,PERCENT,Warren Sapp,25.0,0.1266,0.0841,Safe
7,3,PERCENT,Toni Braxton,22.0,0.1329,0.0801,Safe
7,3,PERCENT,Lance Bass,22.0,0.1175,0.0773,Safe
7,3,PERCENT,Rocco DiSpirito,20.0,0.1187,0.0773,Safe
7,3,PERCENT,Brooke Burke,28.0,0.0912,0.063,Safe
7,4,PERCENT,Cloris Leachman,22.0,0.1066,0.0775,Safe
7,4,PERCENT,Susan Lucci,24.0,0.1313,0.093,Safe
7,4,PERCENT,Cody Linley,23.0,0.1231,0.0818,Safe
7,4,PERCENT,Maurice Greene,20.0,0.1098,0.0631,Safe
7,4,PERCENT,Warren Sapp,22.0,0.1305,0.0864,Safe
7,4,PERCENT,Toni Braxton,22.0,0.1306,0.0875,Safe
7,4,PERCENT,Lance Bass,26.0,0.123,0.0799,Safe
7,4,PERCENT,Rocco DiSpirito,18.0,0.0237,0.0166,Eliminated
7,4,PERCENT,Brooke Burke,26.0,0.1214,0.0844,Safe
7,5,PERCENT,Cloris Leachman,21.0,0.1254,0.0869,Safe
7,5,PERCENT,Susan Lucci,22.0,0.1162,0.0832,Safe
7,5,PERCENT,Cody Linley,28.0,0.1362,0.1002,Safe
7,5,PERCENT,Maurice Greene,27.0,0.147,0.0875,Safe
7,5,PERCENT,Warren Sapp,25.0,0.1327,0.0748,Safe
7,5,PERCENT,Toni Braxton,22.0,0.0228,0.0172,Eliminated
7,5,PERCENT,Lance Bass,21.0,0.1877,0.1011,Safe
7,5,PERCENT,Brooke Burke,29.0,0.1321,0.088,Safe
7,6,PERCENT,Cloris Leachman,15.0,0.0455,0.031,Eliminated
7,6,PERCENT,Susan Lucci,23.0,0.1747,0.1086,Safe
7,6,PERCENT,Cody Linley,23.0,0.1682,0.0976,Safe
7,6,PERCENT,Maurice Greene,21.0,0.1519,0.0917,Safe
7,6,PERCENT,Warren Sapp,25.0,0.1616,0.1221,Safe
7,6,PERCENT,Lance Bass,27.0,0.1313,0.0921,Safe
7,6,PERCENT,Brooke Burke,26.0,0.1667,0.0961,Safe
7,7,PERCENT,Susan Lucci,24.0,0.0355,0.026,Eliminated
7,7,PERCENT,Cody Linley,22.0,0.2576,0.1418,Safe
7,7,PERCENT,Maurice Greene,25.0,0.2278,0.1484,Safe
7,7,PERCENT,Warren Sapp,21.0,0.154,0.0765,Safe
7,7,PERCENT,Lance Bass,25.0,0.2184,0.1371,Safe
7,7,PERCENT,Brooke Burke,30.0,0.1066,0.073,Safe
7,8,PERCENT,Cody Linley,24.0,0.1786,0.1026,Safe
7,8,PERCENT,Maurice Greene,24.0,0.0433,0.0341,Eliminated
7,8,PERCENT,Warren Sapp,27.0,0.17,0.0933,Safe
7,8,PERCENT,Lance Bass,25.0,0.3577,0.1849,Safe
7,8,PERCENT,Brooke Burke,27.5,0.2503,0.149,Safe
7,9,PERCENT,Cody Linley,23.0,0.0778,0.052,Eliminated
7,9,PERCENT,Warren Sapp,24.5,0.2564,0.1329,Safe
7,9,PERCENT,Lance Bass,28.5,0.3922,0.2191,Safe
7,9,PERCENT,Brooke Burke,24.5,0.2736,0.1207,Safe
7,10,PERCENT,Warren Sapp,27.5,0.4404,0.2217,Safe
7,10,PERCENT,Lance Bass,27.5,0.1284,0.0805,Eliminated
7,10,PERCENT,Brooke Burke,30.0,0.4313,0.239,Safe
8,1,PERCENT,Gilles Marini,24.0,0.0724,0.0557,Safe
8,1,PERCENT,Denise Richards,18.0,0.0888,0.062,Safe
8,1,PERCENT,David Alan Grier,19.0,0.0802,0.0555,Safe
8,1,PERCENT,Lawrence Taylor,16.0,0.0704,0.0541,Safe
8,1,PERCENT,Ty Murray,14.0,0.0759,0.0626,Safe
8,1,PERCENT,Shawn Johnson,23.0,0.0844,0.0597,Safe
8,1,PERCENT,Steve Wozniak,13.0,0.0851,0.0679,Safe
8,1,PERCENT,Belinda Carlisle,17.0,0.0782,0.0613,Safe
8,1,PERCENT,Chuck Wicks,20.0,0.0823,0.0603,Safe
8,1,PERCENT,Lil' Kim,21.0,0.0723,0.0544,Safe
8,1,PERCENT,Steve-O,17.0,0.0661,0.0491,Safe
8,1,PERCENT,Holly Madison,18.0,0.0709,0.0586,Safe
8,1,PERCENT,Melissa Rycroft,23.0,0.073,0.0545,Safe
8,2,PERCENT,Gilles Marini,27.0,0.0739,0.0529,Safe
8,2,PERCENT,Denise Richards,21.0,0.0785,0.0618,Safe
8,2,PERCENT,David Alan Grier,17.0,0.104,0.0616,Safe
8,2,PERCENT,Lawrence Taylor,20.0,0.0733,0.0497,Safe
8,2,PERCENT,Ty Murray,20.0,0.0825,0.0555,Safe
8,2,PERCENT,Shawn Johnson,24.0,0.0673,0.0527,Safe
8,2,PERCENT,Steve Wozniak,17.0,0.0876,0.0532,Safe
8,2,PERCENT,Belinda Carlisle,18.0,0.0111,0.0093,Eliminated
8,2,PERCENT,Chuck Wicks,20.0,0.0682,0.0469,Safe
8,2,PERCENT,Lil' Kim,23.0,0.095,0.0652,Safe
8,2,PERCENT,Steve-O,14.0,0.1048,0.0559,Safe
8,2,PERCENT,Holly Madison,18.0,0.0906,0.0566,Safe
8,2,PERCENT,Melissa Rycroft,26.0,0.0631,0.0433,Safe
8,3,PERCENT,Gilles Marini,27.0,0.0776,0.0644,Safe
8,3,PERCENT,Denise Richards,16.0,0.018,0.0123,Eliminated
8,3,PERCENT,David Alan Grier,24.0,0.1053,0.0674,Safe
8,3,PERCENT,Lawrence Taylor,20.0,0.1071,0.0741,Safe
8,3,PERCENT,Ty Murray,23.0,0.0678,0.0521,Safe
8,3,PERCENT,Shawn Johnson,27.0,0.0853,0.0592,Safe
8,3,PERCENT,Steve Wozniak,10.0,0.1109,0.0494,Safe
8,3,PERCENT,Chuck Wicks,23.0,0.0756,0.0576,Safe
8,3,PERCENT,Lil' Kim,25.0,0.0924,0.067,Safe
8,3,PERCENT,Steve-O,15.0,0.1014,0.0572,Safe
8,3,PERCENT,Holly Madison,17.0,0.0808,0.0511,Safe
8,3,PERCENT,Melissa Rycroft,27.0,0.0779,0.0572,Safe
8,4,PERCENT,Gilles Marini,30.0,0.1095,0.0728,Safe
8,4,PERCENT,David Alan Grier,22.0,0.108,0.066,Safe
8,4,PERCENT,Lawrence Taylor,19.0,0.103,0.063,Safe
8,4,PERCENT,Ty Murray,25.0,0.0991,0.067,Safe
8,4,PERCENT,Shawn Johnson,25.0,0.0923,0.0582,Safe
8,4,PERCENT,Steve Wozniak,12.0,0.0281,0.0188,Eliminated
8,4,PERCENT,Chuck Wicks,22.0,0.1099,0.0801,Safe
8,4,PERCENT,Lil' Kim,27.0,0.0726,0.0544,Safe
8,4,PERCENT,Steve-O,15.0,0.0911,0.0534,Safe
8,4,PERCENT,Holly Madison,16.0,0.1091,0.0643,Safe
8,4,PERCENT,Melissa Rycroft,29.0,0.0773,0.0538,Safe
8,5,PERCENT,Gilles Marini,29.0,0.138,0.0927,Safe
8,5,PERCENT,David Alan Grier,22.0,0.0196,0.016,Eliminated
8,5,PERCENT,Lawrence Taylor,20.0,0.1119,0.0614,Safe
8,5,PERCENT,Ty Murray,21.0,0.1124,0.0552,Safe
8,5,PERCENT,Shawn Johnson,26.0,0.115,0.072,Safe
8,5,PERCENT,Chuck Wicks,23.0,0.0892,0.0528,Safe
8,5,PERCENT,Lil' Kim,26.0,0.1168,0.0732,Safe
8,5,PERCENT,Steve-O,18.0,0.1565,0.0667,Safe
8,5,PERCENT,Melissa Rycroft,25.0,0.1406,0.0802,Safe
8,6,PERCENT,Gilles Marini,26.0,0.1042,0.0709,Safe
8,6,PERCENT,Lawrence Taylor,22.0,0.1353,0.0921,Safe
8,6,PERCENT,Ty Murray,18.0,0.1557,0.1022,Safe
8,6,PERCENT,Shawn Johnson,26.0,0.1363,0.0815,Safe
8,6,PERCENT,Chuck Wicks,23.0,0.1363,0.0871,Safe
8,6,PERCENT,Lil' Kim,28.0,0.1621,0.0912,Safe
8,6,PERCENT,Steve-O,16.0,0.0368,0.0254,Eliminated
8,6,PERCENT,Melissa Rycroft,27.0,0.1332,0.0904,Safe
8,7,PERCENT,Gilles Marini,27.0,0.1493,0.0978,Safe
8,7,PERCENT,Lawrence Taylor,21.0,0.0353,0.0244,Eliminated
8,7,PERCENT,Ty Murray,24.0,0.167,0.1057,Safe
8,7,PERCENT,Shawn Johnson,28.0,0.2037,0.133,Safe
8,7,PERCENT,Chuck Wicks,27.0,0.1241,0.0829,Safe
8,7,PERCENT,Lil' Kim,26.0,0.1562,0.1056,Safe
8,7,PERCENT,Melissa Rycroft,29.0,0.1645,0.1602,Safe
8,8,PERCENT,Gilles Marini,27.5,0.1944,0.1085,Safe
8,8,PERCENT,Ty Murray,26.0,0.2882,0.1527,Safe
8,8,PERCENT,Shawn Johnson,26.0,0.1606,0.0919,Safe
8,8,PERCENT,Chuck Wicks,25.5,0.0338,0.0262,Eliminated
8,8,PERCENT,Lil' Kim,28.0,0.1328,0.0818,Safe
8,8,PERCENT,Melissa Rycroft,23.0,0.1903,0.1124,Safe
8,9,PERCENT,Gilles Marini,28.0,0.2962,0.1614,Safe
8,9,PERCENT,Ty Murray,23.0,0.2408,0.1313,Safe
8,9,PERCENT,Shawn Johnson,28.0,0.2048,0.1233,Safe
8,9,PERCENT,Lil' Kim,26.0,0.0513,0.0396,Eliminated
8,9,PERCENT,Melissa Rycroft,28.5,0.2068,0.118,Safe
8,10,PERCENT,Gilles Marini,30.0,0.3944,0.2003,Safe
8,10,PERCENT,Ty Murray,24.0,0.0882,0.0614,Eliminated
8,10,PERCENT,Shawn Johnson,28.0,0.3225,0.1696,Safe
8,10,PERCENT,Melissa Rycroft,27.5,0.1949,0.0914,Safe
8,11,PERCENT,Gilles Marini,29.0,0.3703,0.2171,Safe
8,11,PERCENT,Shawn Johnson,30.0,0.5281,0.2291,Safe
8,11,PERCENT,Melissa Rycroft,28.5,0.1015,0.0689,Runner-up/Lost
9,1,PERCENT,Ashley Hamiliton,18.9999,0.0695,0.0432,Safe
9,1,PERCENT,Debi Mazar,22.0,0.0557,0.0428,Safe
9,1,PERCENT,Melissa Joan Hart,24.0,0.07,0.0488,Safe
9,1,PERCENT,Mark Dacascos,28.9998,0.0651,0.0427,Safe
9,1,PERCENT,Chuck Liddell,22.0,0.062,0.0431,Safe
9,1,PERCENT,Natalie Coughlin,26.9998,0.0509,0.0385,Safe
9,1,PERCENT,Louie Vito,26.9998,0.0738,0.0474,Safe
9,1,PERCENT,Michael Irvin,19.0,0.0707,0.0456,Safe
9,1,PERCENT,Joanna Krupa,33.9999,0.0801,0.0513,Safe
9,1,PERCENT,Kathy Ireland,19.9999,0.0643,0.0414,Safe
9,1,PERCENT,Tom DeLay,19.9999,0.0573,0.0395,Safe
9,1,PERCENT,Macy Gray,18.9999,0.0105,0.008,Eliminated
9,1,PERCENT,Aaron Carter,31.999899999999997,0.0718,0.0519,Safe
9,1,PERCENT,Mya,30.999899999999997,0.0664,0.0421,Safe
9,1,PERCENT,Donny Osmond,29.999899999999997,0.0702,0.0399,Safe
9,1,PERCENT,Kelly Osbourne,30.9998,0.0617,0.0419,Safe
9,2,PERCENT,Debi Mazar,21.0,0.0776,0.0555,Safe
9,2,PERCENT,Melissa Joan Hart,19.0,0.0786,0.0458,Safe
9,2,PERCENT,Mark Dacascos,21.0,0.0876,0.054,Safe
9,2,PERCENT,Chuck Liddell,19.0,0.0739,0.0451,Safe
9,2,PERCENT,Natalie Coughlin,21.0,0.0809,0.0593,Safe
9,2,PERCENT,Louie Vito,19.0,0.0701,0.049,Safe
9,2,PERCENT,Michael Irvin,20.0,0.0676,0.046,Safe
9,2,PERCENT,Joanna Krupa,20.0,0.0616,0.0421,Safe
9,2,PERCENT,Kathy Ireland,18.0,0.0103,0.0076,Eliminated
9,2,PERCENT,Tom DeLay,18.0,0.0754,0.0483,Safe
9,2,PERCENT,Aaron Carter,27.0,0.0898,0.0668,Safe
9,2,PERCENT,Mya,27.0,0.0795,0.0583,Safe
9,2,PERCENT,Donny Osmond,25.0,0.0645,0.0439,Safe
9,2,PERCENT,Kelly Osbourne,19.0,0.0825,0.0541,Safe
9,3,PERCENT,Debi Mazar,17.0,0.0116,0.0086,Eliminated
9,3,PERCENT,Melissa Joan Hart,19.0,0.0896,0.0547,Safe
9,3,PERCENT,Mark Dacascos,18.0,0.0729,0.0432,Safe
9,3,PERCENT,Chuck Liddell,17.0,0.0899,0.0612,Safe
9,3,PERCENT,Natalie Coughlin,26.0,0.0709,0.049,Safe
9,3,PERCENT,Louie Vito,20.0,0.0844,0.0601,Safe
9,3,PERCENT,Michael Irvin,14.0,0.093,0.0569,Safe
9,3,PERCENT,Joanna Krupa,23.0,0.0731,0.0543,Safe
9,3,PERCENT,Tom DeLay,15.0,0.0871,0.047,Safe
9,3,PERCENT,Aaron Carter,21.0,0.0853,0.0635,Safe
9,3,PERCENT,Mya,27.0,0.0612,0.0486,Safe
9,3,PERCENT,Donny Osmond,21.0,0.088,0.064,Safe
9,3,PERCENT,Kelly Osbourne,20.0,0.093,0.0599,Safe
9,4,PERCENT,Melissa Joan Hart,28.0,0.099,0.0696,Safe
9,4,PERCENT,Mark Dacascos,22.0,0.0994,0.0618,Safe
9,4,PERCENT,Chuck Liddell,17.0,0.0195,0.0133,Eliminated
9,4,PERCENT,Natalie Coughlin,24.0,0.1093,0.0696,Safe
9,4,PERCENT,Louie Vito,16.0,0.1004,0.0531,Safe
9,4,PERCENT,Michael Irvin,16.0,0.1135,0.0559,Safe
9,4,PERCENT,Joanna Krupa,26.0,0.1088,0.0735,Safe
9,4,PERCENT,Aaron Carter,18.0,0.0978,0.0601,Safe
9,4,PERCENT,Mya,28.0,0.0836,0.0659,Safe
9,4,PERCENT,Donny Osmond,24.0,0.0895,0.059,Safe
9,4,PERCENT,Kelly Osbourne,23.0,0.0793,0.0504,Safe
9,5,PERCENT,Melissa Joan Hart,23.0,0.1131,0.0668,Safe
9,5,PERCENT,Mark Dacascos,26.0,0.1014,0.0807,Safe
9,5,PERCENT,Natalie Coughlin,22.0,0.0167,0.0125,Eliminated
9,5,PERCENT,Louie Vito,22.0,0.1042,0.063,Safe
9,5,PERCENT,Michael Irvin,21.0,0.1046,0.0642,Safe
9,5,PERCENT,Joanna Krupa,24.0,0.1297,0.0807,Safe
9,5,PERCENT,Aaron Carter,24.0,0.1109,0.0781,Safe
9,5,PERCENT,Mya,27.0,0.1101,0.0667,Safe
9,5,PERCENT,Donny Osmond,29.0,0.0981,0.065,Safe
9,5,PERCENT,Kelly Osbourne,24.0,0.1111,0.0661,Safe
9,6,PERCENT,Melissa Joan Hart,23.9999,0.024,0.0164,Eliminated
9,6,PERCENT,Mark Dacascos,32.0,0.1649,0.0972,Safe
9,6,PERCENT,Louie Vito,24.0,0.1295,0.07,Safe
9,6,PERCENT,Michael Irvin,21.9998,0.1336,0.0724,Safe
9,6,PERCENT,Joanna Krupa,35.9999,0.1222,0.0797,Safe
9,6,PERCENT,Aaron Carter,32.9998,0.1179,0.0777,Safe
9,6,PERCENT,Mya,33.0,0.1137,0.0854,Safe
9,6,PERCENT,Donny Osmond,30.999899999999997,0.0902,0.0582,Safe
9,6,PERCENT,Kelly Osbourne,24.9998,0.1039,0.0636,Safe
9,7,PERCENT,Mark Dacascos,21.5,0.0312,0.0217,Eliminated
9,7,PERCENT,Michael Irvin,23.5,0.2248,0.1087,Safe
9,7,PERCENT,Joanna Krupa,27.5,0.1696,0.1083,Safe
9,7,PERCENT,Aaron Carter,26.5,0.17,0.1125,Safe
9,7,PERCENT,Mya,24.5,0.1631,0.0938,Safe
9,7,PERCENT,Donny Osmond,26.0,0.1311,0.0849,Safe
9,7,PERCENT,Kelly Osbourne,26.0,0.1104,0.0725,Safe
9,8,PERCENT,Joanna Krupa,26.0,0.2678,0.1737,Safe
9,8,PERCENT,Aaron Carter,25.0,0.0545,0.0393,Eliminated
9,8,PERCENT,Mya,29.5,0.1892,0.1235,Safe
9,8,PERCENT,Donny Osmond,25.0,0.2205,0.1346,Safe
9,8,PERCENT,Kelly Osbourne,25.5,0.268,0.1666,Safe
9,9,PERCENT,Joanna Krupa,27.0,0.0752,0.0511,Eliminated
9,9,PERCENT,Mya,28.9999,0.2109,0.126,Safe
9,9,PERCENT,Donny Osmond,24.666600000000003,0.3569,0.1228,Safe
9,9,PERCENT,Kelly Osbourne,25.9998,0.3571,0.1336,Safe
9,10,PERCENT,Mya,28.333199999999998,0.3081,0.1236,Safe
9,10,PERCENT,Donny Osmond,28.9998,0.5546,0.1636,Safe
9,10,PERCENT,Kelly Osbourne,25.2222,0.1373,0.0825,Eliminated
10,1,PERCENT,Aiden Turner,15.0,0.0944,0.0716,Safe
10,1,PERCENT,Shannen Doherty,18.0,0.1008,0.0735,Safe
10,1,PERCENT,Niecy Nash,18.0,0.0833,0.0603,Safe
10,1,PERCENT,Buzz Aldrin,14.0,0.0944,0.0736,Safe
10,1,PERCENT,Chad Ochocinco,18.0,0.0777,0.0598,Safe
10,1,PERCENT,Evan Lysacek,23.0,0.0946,0.0722,Safe
10,1,PERCENT,Pamela Anderson,21.0,0.0922,0.0665,Safe
10,1,PERCENT,Nicole Scherzinger,25.0,0.097,0.0729,Safe
10,1,PERCENT,Erin Andrews,21.0,0.0868,0.0664,Safe
10,1,PERCENT,Kate Gosselin,16.0,0.0971,0.0725,Safe
10,1,PERCENT,Jake Pavelka,20.0,0.0818,0.0596,Safe
10,2,PERCENT,Aiden Turner,19.0,0.1257,0.0748,Safe
10,2,PERCENT,Shannen Doherty,20.0,0.0127,0.0097,Eliminated
10,2,PERCENT,Niecy Nash,21.0,0.1058,0.0691,Safe
10,2,PERCENT,Buzz Aldrin,12.0,0.1204,0.0471,Safe
10,2,PERCENT,Chad Ochocinco,16.0,0.1088,0.0605,Safe
10,2,PERCENT,Evan Lysacek,24.0,0.107,0.0636,Safe
10,2,PERCENT,Pamela Anderson,22.0,0.0828,0.0605,Safe
10,2,PERCENT,Nicole Scherzinger,28.0,0.0772,0.0568,Safe
10,2,PERCENT,Erin Andrews,23.0,0.0725,0.0426,Safe
10,2,PERCENT,Kate Gosselin,15.0,0.112,0.052,Safe
10,2,PERCENT,Jake Pavelka,20.0,0.0752,0.0495,Safe
10,3,PERCENT,Aiden Turner,20.0,0.0912,0.0633,Safe
10,3,PERCENT,Niecy Nash,21.0,0.1236,0.086,Safe
10,3,PERCENT,Buzz Aldrin,13.0,0.0283,0.0181,Eliminated
10,3,PERCENT,Chad Ochocinco,20.0,0.1183,0.0909,Safe
10,3,PERCENT,Evan Lysacek,26.0,0.0933,0.0646,Safe
10,3,PERCENT,Pamela Anderson,21.0,0.1004,0.0719,Safe
10,3,PERCENT,Nicole Scherzinger,23.0,0.1041,0.0814,Safe
10,3,PERCENT,Erin Andrews,23.0,0.1017,0.0717,Safe
10,3,PERCENT,Kate Gosselin,15.0,0.1241,0.0702,Safe
10,3,PERCENT,Jake Pavelka,21.0,0.115,0.075,Safe
10,4,PERCENT,Aiden Turner,16.5,0.0252,0.0195,Eliminated
10,4,PERCENT,Niecy Nash,18.0,0.1155,0.0744,Safe
10,4,PERCENT,Chad Ochocinco,22.0,0.1283,0.0974,Safe
10,4,PERCENT,Evan Lysacek,26.0,0.1419,0.1015,Safe
10,4,PERCENT,Pamela Anderson,23.5,0.1067,0.0815,Safe
10,4,PERCENT,Nicole Scherzinger,25.0,0.0966,0.0663,Safe
10,4,PERCENT,Erin Andrews,19.5,0.1521,0.0783,Safe
10,4,PERCENT,Kate Gosselin,16.0,0.115,0.059,Safe
10,4,PERCENT,Jake Pavelka,19.0,0.1186,0.0798,Safe
10,5,PERCENT,Niecy Nash,18.0,0.1399,0.0976,Safe
10,5,PERCENT,Chad Ochocinco,18.0,0.1335,0.0748,Safe
10,5,PERCENT,Evan Lysacek,27.0,0.1309,0.077,Safe
10,5,PERCENT,Pamela Anderson,21.0,0.1155,0.0835,Safe
10,5,PERCENT,Nicole Scherzinger,29.0,0.1525,0.0923,Safe
10,5,PERCENT,Erin Andrews,22.0,0.1463,0.0952,Safe
10,5,PERCENT,Kate Gosselin,15.0,0.0344,0.025,Eliminated
10,5,PERCENT,Jake Pavelka,23.0,0.1472,0.0933,Safe
10,6,PERCENT,Niecy Nash,25.9998,0.1566,0.1013,Safe
10,6,PERCENT,Chad Ochocinco,30.999899999999997,0.1637,0.1091,Safe
10,6,PERCENT,Evan Lysacek,27.0,0.1581,0.0858,Safe
10,6,PERCENT,Pamela Anderson,29.9998,0.1706,0.1113,Safe
10,6,PERCENT,Nicole Scherzinger,35.9999,0.1296,0.0945,Safe
10,6,PERCENT,Erin Andrews,34.0,0.1832,0.108,Safe
10,6,PERCENT,Jake Pavelka,24.999899999999997,0.0381,0.0271,Eliminated
10,7,PERCENT,Niecy Nash,24.5,0.1687,0.0915,Safe
10,7,PERCENT,Chad Ochocinco,26.0,0.1755,0.1202,Safe
10,7,PERCENT,Evan Lysacek,27.0,0.1855,0.1048,Safe
10,7,PERCENT,Pamela Anderson,25.5,0.035,0.0274,Eliminated
10,7,PERCENT,Nicole Scherzinger,27.0,0.2406,0.1074,Safe
10,7,PERCENT,Erin Andrews,25.5,0.1947,0.0879,Safe
10,8,PERCENT,Niecy Nash,21.5,0.0629,0.0451,Eliminated
10,8,PERCENT,Chad Ochocinco,22.5,0.2626,0.1311,Safe
10,8,PERCENT,Evan Lysacek,26.5,0.2243,0.138,Safe
10,8,PERCENT,Nicole Scherzinger,29.5,0.1828,0.114,Safe
10,8,PERCENT,Erin Andrews,26.5,0.2675,0.1408,Safe
10,9,PERCENT,Chad Ochocinco,26.0,0.0656,0.0512,Eliminated
10,9,PERCENT,Evan Lysacek,29.5,0.3913,0.2232,Safe
10,9,PERCENT,Nicole Scherzinger,29.5,0.2737,0.159,Safe
10,9,PERCENT,Erin Andrews,28.0,0.2695,0.1847,Safe
10,10,PERCENT,Evan Lysacek,26.888699999999996,0.5942,0.1633,Safe
10,10,PERCENT,Nicole Scherzinger,28.7777,0.0985,0.0724,Eliminated
10,10,PERCENT,Erin Andrews,26.9998,0.3073,0.1325,Safe
11,1,PERCENT,David Hasselhoff,15.0,0.0144,0.0109,Eliminated
11,1,PERCENT,Florence Henderson,18.0,0.1122,0.0764,Safe
11,1,PERCENT,Kyle Massey,23.0,0.0957,0.055,Safe
11,1,PERCENT,Jennifer Grey,24.0,0.0635,0.0445,Safe
11,1,PERCENT,Rick Fox,22.0,0.0917,0.0612,Safe
11,1,PERCENT,Kurt Warner,19.0,0.0848,0.0553,Safe
11,1,PERCENT,Margaret Cho,15.0,0.0783,0.0501,Safe
11,1,PERCENT,Michael Bolton,16.0,0.0943,0.0616,Safe
11,1,PERCENT,Brandy,23.0,0.0803,0.0629,Safe
11,1,PERCENT,The Situation,15.0,0.0802,0.0486,Safe
11,1,PERCENT,Audrina Patridge,19.0,0.0929,0.0611,Safe
11,1,PERCENT,Bristol Palin,18.0,0.1118,0.0797,Safe
11,2,PERCENT,Florence Henderson,19.0,0.1026,0.0731,Safe
11,2,PERCENT,Kyle Massey,22.0,0.089,0.0649,Safe
11,2,PERCENT,Jennifer Grey,24.0,0.0923,0.0683,Safe
11,2,PERCENT,Rick Fox,21.0,0.0892,0.0566,Safe
11,2,PERCENT,Kurt Warner,21.0,0.1242,0.0884,Safe
11,2,PERCENT,Margaret Cho,18.0,0.0954,0.0599,Safe
11,2,PERCENT,Michael Bolton,12.0,0.0264,0.0169,Eliminated
11,2,PERCENT,Brandy,21.0,0.0903,0.074,Safe
11,2,PERCENT,The Situation,18.0,0.106,0.0701,Safe
11,2,PERCENT,Audrina Patridge,23.0,0.0855,0.063,Safe
11,2,PERCENT,Bristol Palin,22.0,0.0991,0.0742,Safe
11,3,PERCENT,Florence Henderson,20.0,0.0985,0.0612,Safe
11,3,PERCENT,Kyle Massey,23.0,0.1073,0.0666,Safe
11,3,PERCENT,Jennifer Grey,24.0,0.1041,0.0586,Safe
11,3,PERCENT,Rick Fox,24.0,0.1063,0.0654,Safe
11,3,PERCENT,Kurt Warner,23.0,0.1007,0.06,Safe
11,3,PERCENT,Margaret Cho,18.0,0.0221,0.0167,Eliminated
11,3,PERCENT,Brandy,24.0,0.1105,0.0707,Safe
11,3,PERCENT,The Situation,20.0,0.1025,0.079,Safe
11,3,PERCENT,Audrina Patridge,26.0,0.1321,0.08,Safe
11,3,PERCENT,Bristol Palin,19.0,0.1158,0.0657,Safe
11,4,PERCENT,Florence Henderson,17.5,0.0965,0.0667,Safe
11,4,PERCENT,Kyle Massey,20.0,0.1252,0.0791,Safe
11,4,PERCENT,Jennifer Grey,28.0,0.1115,0.0891,Safe
11,4,PERCENT,Rick Fox,19.5,0.1186,0.0794,Safe
11,4,PERCENT,Kurt Warner,17.0,0.1278,0.0823,Safe
11,4,PERCENT,Brandy,24.0,0.147,0.1101,Safe
11,4,PERCENT,The Situation,14.0,0.0301,0.021,Eliminated
11,4,PERCENT,Audrina Patridge,23.0,0.1149,0.0775,Safe
11,4,PERCENT,Bristol Palin,16.0,0.1283,0.0774,Safe
11,5,PERCENT,Florence Henderson,21.0,0.0241,0.0179,Eliminated
11,5,PERCENT,Kyle Massey,20.0,0.1429,0.0835,Safe
11,5,PERCENT,Jennifer Grey,25.0,0.1057,0.0782,Safe
11,5,PERCENT,Rick Fox,24.0,0.153,0.0744,Safe
11,5,PERCENT,Kurt Warner,24.0,0.1514,0.0842,Safe
11,5,PERCENT,Brandy,27.0,0.122,0.0895,Safe
11,5,PERCENT,Audrina Patridge,23.0,0.1298,0.0812,Safe
11,5,PERCENT,Bristol Palin,18.0,0.1712,0.1028,Safe
11,6,PERCENT,Kyle Massey,29.999899999999997,0.1749,0.0835,Safe
11,6,PERCENT,Jennifer Grey,29.0,0.1627,0.083,Safe
11,6,PERCENT,Rick Fox,30.0,0.1323,0.0698,Safe
11,6,PERCENT,Kurt Warner,21.9999,0.1897,0.0807,Safe
11,6,PERCENT,Brandy,35.9999,0.1274,0.0866,Safe
11,6,PERCENT,Audrina Patridge,31.9998,0.0235,0.0178,Eliminated
11,6,PERCENT,Bristol Palin,27.9998,0.1895,0.0938,Safe
11,7,PERCENT,Kyle Massey,33.5,0.241,0.1626,Safe
11,7,PERCENT,Jennifer Grey,36.5,0.1376,0.0833,Safe
11,7,PERCENT,Rick Fox,34.5,0.0339,0.0277,Eliminated
11,7,PERCENT,Kurt Warner,35.0,0.2123,0.1141,Safe
11,7,PERCENT,Brandy,36.5,0.2158,0.1364,Safe
11,7,PERCENT,Bristol Palin,32.5,0.1595,0.0927,Safe
11,8,PERCENT,Kyle Massey,28.0,0.2074,0.1459,Safe
