Season,Week,Rule_Used,Contestant,Judge_Score,Est_Fan_Vote,Uncertainty,Actual_Status,Prediction_Match
7,7,PERCENT,Maurice Greene,25.0,0.1525,0.0977,Safe,True
7,7,PERCENT,Warren Sapp,21.0,0.2389,0.145,Safe,True
7,7,PERCENT,Lance Bass,25.0,0.1991,0.1117,Safe,True
7,7,PERCENT,Brooke Burke,30.0,0.1663,0.1227,Safe,True
7,8,PERCENT,Cody Linley,24.0,0.2157,0.1596,Safe,True
7,8,PERCENT,Maurice Greene,24.0,0.0441,0.034,Eliminated,True
7,8,PERCENT,Warren Sapp,27.0,0.1517,0.0922,Safe,True
7,8,PERCENT,Lance Bass,25.0,0.1735,0.0933,Safe,True
7,8,PERCENT,Brooke Burke,27.5,0.415,0.2013,Safe,True
7,9,PERCENT,Cody Linley,23.0,0.0792,0.0535,Eliminated,True
7,9,PERCENT,Warren Sapp,24.5,0.3293,0.1996,Safe,True
7,9,PERCENT,Lance Bass,28.5,0.2517,0.124,Safe,True
7,9,PERCENT,Brooke Burke,24.5,0.3399,0.2072,Safe,True
8,2,PERCENT,Gilles Marini,27.0,0.0888,0.0571,Safe,True
8,2,PERCENT,Denise Richards,21.0,0.0723,0.0548,Safe,True
8,2,PERCENT,David Alan Grier,17.0,0.1032,0.0566,Safe,True
8,2,PERCENT,Lawrence Taylor,20.0,0.0831,0.0497,Safe,True
8,2,PERCENT,Ty Murray,20.0,0.1018,0.0662,Safe,True
8,2,PERCENT,Shawn Johnson,24.0,0.0538,0.0407,Safe,True
8,2,PERCENT,Steve Wozniak,17.0,0.0775,0.0431,Safe,True
8,2,PERCENT,Belinda Carlisle,18.0,0.012,0.0093,Eliminated,True
8,2,PERCENT,Chuck Wicks,20.0,0.085,0.0615,Safe,True
8,2,PERCENT,Lil' Kim,23.0,0.0698,0.0496,Safe,True
8,2,PERCENT,Steve-O,14.0,0.0867,0.0551,Safe,True
8,2,PERCENT,Holly Madison,18.0,0.0991,0.0701,Safe,True
8,2,PERCENT,Melissa Rycroft,26.0,0.0668,0.0514,Safe,True
8,3,PERCENT,Gilles Marini,27.0,0.082,0.0574,Safe,True
8,3,PERCENT,Denise Richards,16.0,0.0173,0.0118,Eliminated,True
8,3,PERCENT,David Alan Grier,24.0,0.0847,0.0668,Safe,True
8,3,PERCENT,Lawrence Taylor,20.0,0.0913,0.0619,Safe,True
8,3,PERCENT,Ty Murray,23.0,0.0662,0.0583,Safe,True
8,3,PERCENT,Shawn Johnson,27.0,0.0804,0.0554,Safe,True
8,3,PERCENT,Steve Wozniak,10.0,0.1248,0.063,Safe,True
8,3,PERCENT,Chuck Wicks,23.0,0.0914,0.0639,Safe,True
8,3,PERCENT,Lil' Kim,25.0,0.0674,0.0454,Safe,True
8,3,PERCENT,Steve-O,15.0,0.0971,0.0584,Safe,True
8,3,PERCENT,Holly Madison,17.0,0.0944,0.0592,Safe,True
8,3,PERCENT,Melissa Rycroft,27.0,0.1029,0.067,Safe,True
8,4,PERCENT,Gilles Marini,30.0,0.0896,0.0656,Safe,True
8,4,PERCENT,David Alan Grier,22.0,0.0888,0.0631,Safe,True
8,4,PERCENT,Lawrence Taylor,19.0,0.0937,0.0728,Safe,True
8,4,PERCENT,Ty Murray,25.0,0.1075,0.0738,Safe,True
8,4,PERCENT,Shawn Johnson,25.0,0.0813,0.061,Safe,True
8,4,PERCENT,Steve Wozniak,12.0,0.0252,0.0171,Eliminated,True
8,4,PERCENT,Chuck Wicks,22.0,0.1032,0.0796,Safe,True
8,4,PERCENT,Lil' Kim,27.0,0.0976,0.0715,Safe,True
8,4,PERCENT,Steve-O,15.0,0.1045,0.064,Safe,True
8,4,PERCENT,Holly Madison,16.0,0.1145,0.076,Safe,True
8,4,PERCENT,Melissa Rycroft,29.0,0.0941,0.0651,Safe,True
8,5,PERCENT,Gilles Marini,29.0,0.1089,0.0724,Safe,True
8,5,PERCENT,David Alan Grier,22.0,0.0181,0.0145,Eliminated,True
8,5,PERCENT,Lawrence Taylor,20.0,0.1149,0.0682,Safe,True
8,5,PERCENT,Ty Murray,21.0,0.1386,0.0757,Safe,True
8,5,PERCENT,Shawn Johnson,26.0,0.1141,0.077,Safe,True
8,5,PERCENT,Chuck Wicks,23.0,0.1076,0.0598,Safe,True
8,5,PERCENT,Lil' Kim,26.0,0.1718,0.0888,Safe,True
8,5,PERCENT,Steve-O,18.0,0.1249,0.069,Safe,True
8,5,PERCENT,Melissa Rycroft,25.0,0.1009,0.0634,Safe,True
8,6,PERCENT,Gilles Marini,26.0,0.1507,0.0905,Safe,True
8,6,PERCENT,Lawrence Taylor,22.0,0.1064,0.0761,Safe,True
8,6,PERCENT,Ty Murray,18.0,0.1568,0.0886,Safe,True
8,6,PERCENT,Shawn Johnson,26.0,0.1564,0.0863,Safe,True
8,6,PERCENT,Chuck Wicks,23.0,0.1415,0.0982,Safe,True
8,6,PERCENT,Lil' Kim,28.0,0.1317,0.0942,Safe,True
8,6,PERCENT,Steve-O,16.0,0.0358,0.025,Eliminated,True
8,6,PERCENT,Melissa Rycroft,27.0,0.1207,0.0873,Safe,True
8,7,PERCENT,Gilles Marini,27.0,0.1884,0.1046,Safe,True
8,7,PERCENT,Lawrence Taylor,21.0,0.0376,0.0255,Eliminated,True
8,7,PERCENT,Ty Murray,24.0,0.1458,0.0875,Safe,True
8,7,PERCENT,Shawn Johnson,28.0,0.1887,0.1093,Safe,True
8,7,PERCENT,Chuck Wicks,27.0,0.1599,0.0996,Safe,True
8,7,PERCENT,Lil' Kim,26.0,0.1342,0.0706,Safe,True
8,7,PERCENT,Melissa Rycroft,29.0,0.1454,0.0898,Safe,True
8,8,PERCENT,Gilles Marini,27.5,0.1944,0.0998,Safe,True
8,8,PERCENT,Ty Murray,26.0,0.1485,0.1025,Safe,True
8,8,PERCENT,Shawn Johnson,26.0,0.1751,0.0901,Safe,True
8,8,PERCENT,Chuck Wicks,25.5,0.0375,0.0284,Eliminated,True
8,8,PERCENT,Lil' Kim,28.0,0.1894,0.1275,Safe,True
8,8,PERCENT,Melissa Rycroft,23.0,0.2552,0.1142,Safe,True
8,9,PERCENT,Gilles Marini,28.0,0.2133,0.1322,Safe,True
8,9,PERCENT,Ty Murray,23.0,0.2305,0.0881,Safe,True
8,9,PERCENT,Shawn Johnson,28.0,0.2359,0.1202,Safe,True
8,9,PERCENT,Lil' Kim,26.0,0.0566,0.0406,Eliminated,True
8,9,PERCENT,Melissa Rycroft,28.5,0.2637,0.1422,Safe,True
8,10,PERCENT,Gilles Marini,30.0,0.2806,0.2039,Safe,True
8,10,PERCENT,Ty Murray,24.0,0.0707,0.0472,Eliminated,True
8,10,PERCENT,Shawn Johnson,28.0,0.4497,0.2408,Safe,True
8,10,PERCENT,Melissa Rycroft,27.5,0.1991,0.1016,Safe,True
9,1,PERCENT,Ashley Hamiliton,18.9999,0.0104,0.0075,Eliminated,True
9,1,PERCENT,Debi Mazar,22.0,0.0733,0.0527,Safe,True
9,1,PERCENT,Melissa Joan Hart,24.0,0.065,0.0467,Safe,True
9,1,PERCENT,Mark Dacascos,28.9998,0.0674,0.0482,Safe,True
9,1,PERCENT,Chuck Liddell,22.0,0.0713,0.0509,Safe,True
9,1,PERCENT,Natalie Coughlin,26.9998,0.0653,0.0456,Safe,True
9,1,PERCENT,Louie Vito,26.9998,0.0673,0.0443,Safe,True
9,1,PERCENT,Michael Irvin,19.0,0.0661,0.0424,Safe,True
9,1,PERCENT,Joanna Krupa,33.9999,0.0655,0.0545,Safe,True
9,1,PERCENT,Kathy Ireland,19.9999,0.0703,0.0451,Safe,True
9,1,PERCENT,Tom DeLay,19.9999,0.0622,0.0504,Safe,True
9,1,PERCENT,Macy Gray,18.9999,0.0687,0.0438,Safe,True
9,1,PERCENT,Aaron Carter,31.999899999999997,0.0532,0.044,Safe,True
9,1,PERCENT,Mya,30.999899999999997,0.0517,0.0362,Safe,True
9,1,PERCENT,Donny Osmond,29.999899999999997,0.0667,0.0481,Safe,True
9,1,PERCENT,Kelly Osbourne,30.9998,0.0756,0.0486,Safe,True
9,2,PERCENT,Debi Mazar,21.0,0.0799,0.0508,Safe,True
9,2,PERCENT,Melissa Joan Hart,19.0,0.077,0.0501,Safe,True
9,2,PERCENT,Mark Dacascos,21.0,0.0951,0.0616,Safe,True
9,2,PERCENT,Chuck Liddell,19.0,0.0825,0.0619,Safe,True
9,2,PERCENT,Natalie Coughlin,21.0,0.0697,0.0528,Safe,True
9,2,PERCENT,Louie Vito,19.0,0.0893,0.0613,Safe,True
9,2,PERCENT,Michael Irvin,20.0,0.069,0.0483,Safe,True
9,2,PERCENT,Joanna Krupa,20.0,0.0841,0.0633,Safe,True
9,2,PERCENT,Kathy Ireland,18.0,0.0098,0.0077,Eliminated,True
9,2,PERCENT,Tom DeLay,18.0,0.0754,0.0483,Safe,True
9,2,PERCENT,Aaron Carter,27.0,0.058,0.0447,Safe,True
9,2,PERCENT,Mya,27.0,0.0873,0.0612,Safe,True
9,2,PERCENT,Donny Osmond,25.0,0.0573,0.0481,Safe,True
9,2,PERCENT,Kelly Osbourne,19.0,0.0657,0.0439,Safe,True
9,3,PERCENT,Debi Mazar,17.0,0.0115,0.0085,Eliminated,True
9,3,PERCENT,Melissa Joan Hart,19.0,0.0762,0.0603,Safe,True
9,3,PERCENT,Mark Dacascos,18.0,0.0902,0.0562,Safe,True
9,3,PERCENT,Chuck Liddell,17.0,0.106,0.0672,Safe,True
9,3,PERCENT,Natalie Coughlin,26.0,0.0748,0.049,Safe,True
9,3,PERCENT,Louie Vito,20.0,0.0898,0.0623,Safe,True
9,3,PERCENT,Michael Irvin,14.0,0.0928,0.0488,Safe,True
9,3,PERCENT,Joanna Krupa,23.0,0.0684,0.05,Safe,True
9,3,PERCENT,Tom DeLay,15.0,0.0949,0.0516,Safe,True
9,3,PERCENT,Aaron Carter,21.0,0.0814,0.0547,Safe,True
9,3,PERCENT,Mya,27.0,0.0706,0.0532,Safe,True
9,3,PERCENT,Donny Osmond,21.0,0.0827,0.0653,Safe,True
9,3,PERCENT,Kelly Osbourne,20.0,0.0605,0.044,Safe,True
9,4,PERCENT,Melissa Joan Hart,28.0,0.0906,0.0627,Safe,True
9,4,PERCENT,Mark Dacascos,22.0,0.1163,0.0842,Safe,True
9,4,PERCENT,Chuck Liddell,17.0,0.0201,0.0138,Eliminated,True
9,4,PERCENT,Natalie Coughlin,24.0,0.1006,0.0815,Safe,True
9,4,PERCENT,Louie Vito,16.0,0.1064,0.0578,Safe,True
9,4,PERCENT,Michael Irvin,16.0,0.1077,0.0624,Safe,True
9,4,PERCENT,Joanna Krupa,26.0,0.0805,0.0501,Safe,True
9,4,PERCENT,Aaron Carter,18.0,0.0961,0.0655,Safe,True
9,4,PERCENT,Mya,28.0,0.0735,0.0529,Safe,True
9,4,PERCENT,Donny Osmond,24.0,0.0942,0.069,Safe,True
9,4,PERCENT,Kelly Osbourne,23.0,0.1141,0.0715,Safe,True
9,5,PERCENT,Melissa Joan Hart,23.0,0.1081,0.0942,Safe,True
9,5,PERCENT,Mark Dacascos,26.0,0.1176,0.0795,Safe,True
9,5,PERCENT,Natalie Coughlin,22.0,0.0168,0.0133,Eliminated,True
9,5,PERCENT,Louie Vito,22.0,0.1142,0.0724,Safe,True
9,5,PERCENT,Michael Irvin,21.0,0.112,0.0683,Safe,True
9,5,PERCENT,Joanna Krupa,24.0,0.145,0.1032,Safe,True
9,5,PERCENT,Aaron Carter,24.0,0.0905,0.0596,Safe,True
9,5,PERCENT,Mya,27.0,0.101,0.0667,Safe,True
9,5,PERCENT,Donny Osmond,29.0,0.1002,0.0706,Safe,True
9,5,PERCENT,Kelly Osbourne,24.0,0.0948,0.0577,Safe,True
9,6,PERCENT,Melissa Joan Hart,23.9999,0.0248,0.0165,Eliminated,True
9,6,PERCENT,Mark Dacascos,32.0,0.143,0.0933,Safe,True
9,6,PERCENT,Louie Vito,24.0,0.1136,0.072,Safe,True
9,6,PERCENT,Michael Irvin,21.9998,0.1427,0.0741,Safe,True
9,6,PERCENT,Joanna Krupa,35.9999,0.1017,0.0735,Safe,True
9,6,PERCENT,Aaron Carter,32.9998,0.1378,0.0997,Safe,True
9,6,PERCENT,Mya,33.0,0.0951,0.0628,Safe,True
9,6,PERCENT,Donny Osmond,30.999899999999997,0.116,0.0739,Safe,True
9,6,PERCENT,Kelly Osbourne,24.9998,0.1255,0.0805,Safe,True
9,7,PERCENT,Mark Dacascos,21.5,0.0333,0.0243,Eliminated,True
9,7,PERCENT,Michael Irvin,23.5,0.1299,0.0797,Safe,True
9,7,PERCENT,Joanna Krupa,27.5,0.1402,0.0875,Safe,True
9,7,PERCENT,Aaron Carter,26.5,0.2192,0.1743,Safe,True
9,7,PERCENT,Mya,24.5,0.1803,0.1172,Safe,True
9,7,PERCENT,Donny Osmond,26.0,0.1695,0.0942,Safe,True
9,7,PERCENT,Kelly Osbourne,26.0,0.1276,0.0991,Safe,True
9,8,PERCENT,Joanna Krupa,26.0,0.2096,0.0962,Safe,True
9,8,PERCENT,Aaron Carter,25.0,0.0601,0.0404,Eliminated,True
9,8,PERCENT,Mya,29.5,0.2189,0.1267,Safe,True
9,8,PERCENT,Donny Osmond,25.0,0.3088,0.1553,Safe,True
9,8,PERCENT,Kelly Osbourne,25.5,0.2026,0.0904,Safe,True
9,9,PERCENT,Joanna Krupa,27.0,0.0598,0.046,Eliminated,True
9,9,PERCENT,Mya,28.9999,0.3383,0.2066,Safe,True
9,9,PERCENT,Donny Osmond,24.666600000000003,0.2671,0.1429,Safe,True
9,9,PERCENT,Kelly Osbourne,25.9998,0.3347,0.1957,Safe,True
10,2,PERCENT,Aiden Turner,19.0,0.098,0.0574,Safe,True
10,2,PERCENT,Shannen Doherty,20.0,0.0118,0.0094,Eliminated,True
10,2,PERCENT,Niecy Nash,21.0,0.0976,0.0561,Safe,True
10,2,PERCENT,Buzz Aldrin,12.0,0.1082,0.0476,Safe,True
10,2,PERCENT,Chad Ochocinco,16.0,0.1027,0.0614,Safe,True
10,2,PERCENT,Evan Lysacek,24.0,0.0879,0.059,Safe,True
10,2,PERCENT,Pamela Anderson,22.0,0.0723,0.0472,Safe,True
10,2,PERCENT,Nicole Scherzinger,28.0,0.0956,0.0615,Safe,True
10,2,PERCENT,Erin Andrews,23.0,0.1081,0.0605,Safe,True
10,2,PERCENT,Kate Gosselin,15.0,0.1142,0.0534,Safe,True
10,2,PERCENT,Jake Pavelka,20.0,0.1036,0.0724,Safe,True
10,3,PERCENT,Aiden Turner,20.0,0.1101,0.0786,Safe,True
10,3,PERCENT,Niecy Nash,21.0,0.0963,0.0751,Safe,True
10,3,PERCENT,Buzz Aldrin,13.0,0.028,0.0178,Eliminated,True
10,3,PERCENT,Chad Ochocinco,20.0,0.1193,0.0907,Safe,True
10,3,PERCENT,Evan Lysacek,26.0,0.0961,0.0781,Safe,True
10,3,PERCENT,Pamela Anderson,21.0,0.1173,0.078,Safe,True
10,3,PERCENT,Nicole Scherzinger,23.0,0.127,0.1008,Safe,True
10,3,PERCENT,Erin Andrews,23.0,0.1082,0.0799,Safe,True
10,3,PERCENT,Kate Gosselin,15.0,0.0958,0.0553,Safe,True
10,3,PERCENT,Jake Pavelka,21.0,0.1019,0.0639,Safe,True
10,4,PERCENT,Aiden Turner,16.5,0.0262,0.0181,Eliminated,True
10,4,PERCENT,Niecy Nash,18.0,0.1389,0.0735,Safe,True
10,4,PERCENT,Chad Ochocinco,22.0,0.1148,0.0772,Safe,True
10,4,PERCENT,Evan Lysacek,26.0,0.0909,0.0598,Safe,True
10,4,PERCENT,Pamela Anderson,23.5,0.1254,0.0779,Safe,True
10,4,PERCENT,Nicole Scherzinger,25.0,0.1241,0.0876,Safe,True
10,4,PERCENT,Erin Andrews,19.5,0.1097,0.0673,Safe,True
10,4,PERCENT,Kate Gosselin,16.0,0.1528,0.0709,Safe,True
10,4,PERCENT,Jake Pavelka,19.0,0.1174,0.0775,Safe,True
10,5,PERCENT,Niecy Nash,18.0,0.1195,0.0901,Safe,True
10,5,PERCENT,Chad Ochocinco,18.0,0.1246,0.0698,Safe,True
10,5,PERCENT,Evan Lysacek,27.0,0.1366,0.1015,Safe,True
10,5,PERCENT,Pamela Anderson,21.0,0.1638,0.0928,Safe,True
10,5,PERCENT,Nicole Scherzinger,29.0,0.1406,0.1045,Safe,True
10,5,PERCENT,Erin Andrews,22.0,0.1142,0.083,Safe,True
10,5,PERCENT,Kate Gosselin,15.0,0.0342,0.0232,Eliminated,True
10,5,PERCENT,Jake Pavelka,23.0,0.1665,0.1061,Safe,True
10,6,PERCENT,Niecy Nash,25.9998,0.2041,0.1046,Safe,True
10,6,PERCENT,Chad Ochocinco,30.999899999999997,0.1604,0.0977,Safe,True
10,6,PERCENT,Evan Lysacek,27.0,0.1505,0.0842,Safe,True
10,6,PERCENT,Pamela Anderson,29.9998,0.1828,0.1006,Safe,True
10,6,PERCENT,Nicole Scherzinger,35.9999,0.1304,0.0898,Safe,True
10,6,PERCENT,Erin Andrews,34.0,0.1351,0.1029,Safe,True
10,6,PERCENT,Jake Pavelka,24.999899999999997,0.0367,0.0248,Eliminated,True
10,7,PERCENT,Niecy Nash,24.5,0.2035,0.1092,Safe,True
10,7,PERCENT,Chad Ochocinco,26.0,0.2309,0.117,Safe,True
10,7,PERCENT,Evan Lysacek,27.0,0.2033,0.1069,Safe,True
10,7,PERCENT,Pamela Anderson,25.5,0.0401,0.0301,Eliminated,True
10,7,PERCENT,Nicole Scherzinger,27.0,0.1682,0.0927,Safe,True
10,7,PERCENT,Erin Andrews,25.5,0.1541,0.086,Safe,True
10,8,PERCENT,Niecy Nash,21.5,0.0609,0.0415,Eliminated,True
10,8,PERCENT,Chad Ochocinco,22.5,0.3072,0.1678,Safe,True
10,8,PERCENT,Evan Lysacek,26.5,0.1774,0.0988,Safe,True
10,8,PERCENT,Nicole Scherzinger,29.5,0.1998,0.1391,Safe,True
10,8,PERCENT,Erin Andrews,26.5,0.2547,0.1384,Safe,True
10,9,PERCENT,Chad Ochocinco,26.0,0.0886,0.0556,Eliminated,True
10,9,PERCENT,Evan Lysacek,29.5,0.3449,0.1497,Safe,True
10,9,PERCENT,Nicole Scherzinger,29.5,0.3011,0.1558,Safe,True
10,9,PERCENT,Erin Andrews,28.0,0.2654,0.1315,Safe,True
11,1,PERCENT,David Hasselhoff,15.0,0.0157,0.0118,Eliminated,True
11,1,PERCENT,Florence Henderson,18.0,0.1018,0.0636,Safe,True
11,1,PERCENT,Kyle Massey,23.0,0.0773,0.0566,Safe,True
11,1,PERCENT,Jennifer Grey,24.0,0.0866,0.069,Safe,True
11,1,PERCENT,Rick Fox,22.0,0.0852,0.0572,Safe,True
11,1,PERCENT,Kurt Warner,19.0,0.1047,0.0734,Safe,True
11,1,PERCENT,Margaret Cho,15.0,0.0928,0.0679,Safe,True
11,1,PERCENT,Michael Bolton,16.0,0.0956,0.0582,Safe,True
11,1,PERCENT,Brandy,23.0,0.0831,0.0615,Safe,True
11,1,PERCENT,The Situation,15.0,0.0979,0.0576,Safe,True
11,1,PERCENT,Audrina Patridge,19.0,0.0737,0.0503,Safe,True
11,1,PERCENT,Bristol Palin,18.0,0.0858,0.0626,Safe,True
11,2,PERCENT,Florence Henderson,19.0,0.0963,0.0684,Safe,True
11,2,PERCENT,Kyle Massey,22.0,0.092,0.0677,Safe,True
11,2,PERCENT,Jennifer Grey,24.0,0.0827,0.0602,Safe,True
11,2,PERCENT,Rick Fox,21.0,0.0884,0.0609,Safe,True
11,2,PERCENT,Kurt Warner,21.0,0.0862,0.0594,Safe,True
11,2,PERCENT,Margaret Cho,18.0,0.1176,0.0741,Safe,True
11,2,PERCENT,Michael Bolton,12.0,0.0267,0.0168,Eliminated,True
11,2,PERCENT,Brandy,21.0,0.0857,0.0583,Safe,True
11,2,PERCENT,The Situation,18.0,0.0912,0.0604,Safe,True
11,2,PERCENT,Audrina Patridge,23.0,0.1106,0.0722,Safe,True
11,2,PERCENT,Bristol Palin,22.0,0.1225,0.0747,Safe,True
11,3,PERCENT,Florence Henderson,20.0,0.0952,0.0639,Safe,True
11,3,PERCENT,Kyle Massey,23.0,0.1176,0.0854,Safe,True
11,3,PERCENT,Jennifer Grey,24.0,0.0991,0.0688,Safe,True
11,3,PERCENT,Rick Fox,24.0,0.081,0.0611,Safe,True
11,3,PERCENT,Kurt Warner,23.0,0.0954,0.0659,Safe,True
11,3,PERCENT,Margaret Cho,18.0,0.019,0.0138,Eliminated,True
11,3,PERCENT,Brandy,24.0,0.1006,0.0734,Safe,True
11,3,PERCENT,The Situation,20.0,0.1338,0.0904,Safe,True
11,3,PERCENT,Audrina Patridge,26.0,0.1414,0.0955,Safe,True
11,3,PERCENT,Bristol Palin,19.0,0.1168,0.0753,Safe,True
11,4,PERCENT,Florence Henderson,17.5,0.1274,0.0793,Safe,True
11,4,PERCENT,Kyle Massey,20.0,0.1301,0.0954,Safe,True
11,4,PERCENT,Jennifer Grey,28.0,0.1153,0.0978,Safe,True
11,4,PERCENT,Rick Fox,19.5,0.1193,0.0714,Safe,True
11,4,PERCENT,Kurt Warner,17.0,0.1208,0.0797,Safe,True
11,4,PERCENT,Brandy,24.0,0.1009,0.0768,Safe,True
11,4,PERCENT,The Situation,14.0,0.0316,0.021,Eliminated,True
11,4,PERCENT,Audrina Patridge,23.0,0.1077,0.068,Safe,True
11,4,PERCENT,Bristol Palin,16.0,0.1469,0.0902,Safe,True
11,5,PERCENT,Florence Henderson,21.0,0.0232,0.0169,Eliminated,True
11,5,PERCENT,Kyle Massey,20.0,0.1429,0.0887,Safe,True
11,5,PERCENT,Jennifer Grey,25.0,0.1103,0.0714,Safe,True
11,5,PERCENT,Rick Fox,24.0,0.1611,0.1062,Safe,True
11,5,PERCENT,Kurt Warner,24.0,0.1297,0.0883,Safe,True
11,5,PERCENT,Brandy,27.0,0.1304,0.0815,Safe,True
11,5,PERCENT,Audrina Patridge,23.0,0.141,0.1129,Safe,True
11,5,PERCENT,Bristol Palin,18.0,0.1613,0.1027,Safe,True
11,6,PERCENT,Kyle Massey,29.999899999999997,0.158,0.0971,Safe,True
11,6,PERCENT,Jennifer Grey,29.0,0.1436,0.0675,Safe,True
11,6,PERCENT,Rick Fox,30.0,0.1361,0.0958,Safe,True
11,6,PERCENT,Kurt Warner,21.9999,0.219,0.0836,Safe,True
11,6,PERCENT,Brandy,35.9999,0.1759,0.1107,Safe,True
11,6,PERCENT,Audrina Patridge,31.9998,0.0233,0.0176,Eliminated,True
11,6,PERCENT,Bristol Palin,27.9998,0.1441,0.0873,Safe,True
11,7,PERCENT,Kyle Massey,33.5,0.2135,0.1014,Safe,True
11,7,PERCENT,Jennifer Grey,36.5,0.1758,0.0922,Safe,True
11,7,PERCENT,Rick Fox,34.5,0.0403,0.0306,Eliminated,True
11,7,PERCENT,Kurt Warner,35.0,0.1734,0.0949,Safe,True
11,7,PERCENT,Brandy,36.5,0.1808,0.1097,Safe,True
11,7,PERCENT,Bristol Palin,32.5,0.2163,0.0939,Safe,True
11,8,PERCENT,Kyle Massey,28.0,0.1626,0.0857,Safe,True
11,8,PERCENT,Jennifer Grey,28.5,0.2647,0.1204,Safe,True
11,8,PERCENT,Kurt Warner,24.0,0.0541,0.039,Eliminated,True
11,8,PERCENT,Brandy,28.5,0.2346,0.1215,Safe,True
11,8,PERCENT,Bristol Palin,23.5,0.284,0.1377,Safe,True
11,9,PERCENT,Kyle Massey,29.0,0.2683,0.1499,Safe,True
11,9,PERCENT,Jennifer Grey,30.0,0.2652,0.1318,Safe,True
11,9,PERCENT,Brandy,28.5,0.0649,0.0471,Eliminated,True
11,9,PERCENT,Bristol Palin,26.5,0.4016,0.1766,Safe,True
12,2,PERCENT,Ralph Macchio,21.0,0.0922,0.0573,Safe,True
12,2,PERCENT,Chelsea Kane,18.0,0.0821,0.0515,Safe,True
12,2,PERCENT,Kirstie Alley,20.0,0.0995,0.0742,Safe,True
12,2,PERCENT,Hines Ward,23.0,0.0905,0.0655,Safe,True
12,2,PERCENT,Sugar Ray Leonard,17.0,0.1272,0.0699,Safe,True
12,2,PERCENT,Chris Jericho,23.0,0.099,0.0696,Safe,True
12,2,PERCENT,Petra Nemcova,18.0,0.096,0.0671,Safe,True
12,2,PERCENT,Mike Catherwood,17.0,0.0153,0.0116,Eliminated,True
12,2,PERCENT,Romeo,23.0,0.1073,0.0681,Safe,True
12,2,PERCENT,Wendy Williams,17.0,0.1026,0.0599,Safe,True
12,2,PERCENT,Kendra Wilkinson,19.0,0.0884,0.0599,Safe,True
12,3,PERCENT,Ralph Macchio,21.0,0.1197,0.0752,Safe,True
12,3,PERCENT,Chelsea Kane,23.0,0.0908,0.063,Safe,True
12,3,PERCENT,Kirstie Alley,21.0,0.1128,0.0776,Safe,True
12,3,PERCENT,Hines Ward,25.0,0.1133,0.0788,Safe,True
12,3,PERCENT,Sugar Ray Leonard,20.0,0.0989,0.0591,Safe,True
12,3,PERCENT,Chris Jericho,21.0,0.0977,0.0631,Safe,True
12,3,PERCENT,Petra Nemcova,25.0,0.1221,0.0843,Safe,True
12,3,PERCENT,Romeo,20.0,0.0913,0.0598,Safe,True
12,3,PERCENT,Wendy Williams,15.0,0.0269,0.0171,Eliminated,True
12,3,PERCENT,Kendra Wilkinson,23.0,0.1265,0.0816,Safe,True
12,4,PERCENT,Ralph Macchio,25.0,0.0842,0.052,Safe,True
12,4,PERCENT,Chelsea Kane,26.0,0.1303,0.0842,Safe,True
12,4,PERCENT,Kirstie Alley,22.0,0.1134,0.0726,Safe,True
12,4,PERCENT,Hines Ward,25.0,0.1419,0.0836,Safe,True
12,4,PERCENT,Sugar Ray Leonard,21.0,0.0187,0.0142,Eliminated,True
12,4,PERCENT,Chris Jericho,23.0,0.1117,0.0749,Safe,True
12,4,PERCENT,Petra Nemcova,23.0,0.1002,0.0829,Safe,True
12,4,PERCENT,Romeo,23.0,0.1457,0.0913,Safe,True
12,4,PERCENT,Kendra Wilkinson,18.0,0.154,0.0976,Safe,True
12,5,PERCENT,Ralph Macchio,22.0,0.1192,0.0706,Safe,True
12,5,PERCENT,Chelsea Kane,26.0,0.135,0.0918,Safe,True
12,5,PERCENT,Kirstie Alley,23.0,0.1252,0.0708,Safe,True
12,5,PERCENT,Hines Ward,27.0,0.15,0.0742,Safe,True
12,5,PERCENT,Chris Jericho,26.0,0.1267,0.072,Safe,True
12,5,PERCENT,Petra Nemcova,22.0,0.0229,0.018,Eliminated,True
12,5,PERCENT,Romeo,26.0,0.1818,0.096,Safe,True
12,5,PERCENT,Kendra Wilkinson,22.0,0.1391,0.0821,Safe,True
12,6,PERCENT,Ralph Macchio,24.0,0.172,0.1166,Safe,True
12,6,PERCENT,Chelsea Kane,28.0,0.1283,0.0915,Safe,True
12,6,PERCENT,Kirstie Alley,26.0,0.1377,0.0891,Safe,True
12,6,PERCENT,Hines Ward,27.0,0.2133,0.1346,Safe,True
12,6,PERCENT,Chris Jericho,22.0,0.033,0.0255,Eliminated,True
12,6,PERCENT,Romeo,28.0,0.1594,0.0881,Safe,True
12,6,PERCENT,Kendra Wilkinson,25.0,0.1562,0.0924,Safe,True
12,7,PERCENT,Ralph Macchio,33.0,0.1517,0.098,Safe,True
12,7,PERCENT,Chelsea Kane,32.0,0.1511,0.0871,Safe,True
12,7,PERCENT,Kirstie Alley,30.0,0.2161,0.1202,Safe,True
12,7,PERCENT,Hines Ward,33.0,0.2409,0.1184,Safe,True
12,7,PERCENT,Romeo,30.0,0.2042,0.1188,Safe,True
12,7,PERCENT,Kendra Wilkinson,30.5,0.036,0.0289,Eliminated,True
12,8,PERCENT,Ralph Macchio,23.0,0.2996,0.1494,Safe,True
